name,id,matches_played,matches_won,matches_lost,player_kills_kda,player_kills_kills,player_kills_deaths,player_kills_assists,farming_gpm,farming_gold,farming_minion_damage,farming_minion_kills,damage_player,damage_team_healing,damage_self_healing,damage_inhand,damage_mitigated,damage_taken
Nutax,6776734,14266.0,7666.0,6600.0,2.27,69868.0,53833.0,104285.0,755.0,201470349.0,560842183.0,1103626.0,184045569.0,6937178.0,39340419.0,44080416.0,131305249.0,199348475.0
Juanman,10059110,5867.0,2934.0,2933.0,2.38,27192.0,22071.0,50801.0,668.0,80194930.0,271425227.0,514370.0,79875938.0,4157070.0,14767072.0,20098250.0,48393464.0,81525735.0
lender1997,11678813,8172.0,4221.0,3951.0,1.76,39394.0,43163.0,73534.0,642.0,109116682.0,378915611.0,677550.0,131763197.0,6492612.0,30976424.0,27179717.0,144815498.0,181864820.0
DaNeis,6910477,6575.0,3453.0,3122.0,2.09,31801.0,29782.0,61007.0,677.0,85477228.0,104122189.0,201697.0,49393315.0,1412173.0,6247266.0,9173082.0,46443036.0,59271025.0
EpZero,6418704,6880.0,3539.0,3341.0,1.89,38893.0,33735.0,49865.0,626.0,89634298.0,177037931.0,307497.0,59447103.0,288573.0,9575907.0,15033602.0,62945226.0,80165498.0
